Category,Item Name,Quantity,2022-07-12
DMart Grocery,textured soy protein,1,190.0
DMart Grocery,Cashew,1,1320.0
DMart Grocery,Allspice and Cumin,1,345.0
DMart Grocery,Premia Sugar Candy,1,100.0
DMart Grocery,Chilli,1,260.0
DMart Grocery,Til,1,270.0
DMart Grocery,Dates,1,315.0
DMart Grocery,Garcinia indica,1,550.0
DMart Grocery,Baking soda,1,90.0
DMart Grocery,Chilli,1,570.0
DMart Grocery,Ginger ,1,300.0
DMart Grocery,black cumin,1,280.0
DMart Grocery,Ginger,1,460.0
DMart Grocery,dinkh ,1,240.0
DMart Grocery,Premia Tea Masala,1,700.0
DMart Grocery,Citric Acid,1,620.0
DMart Grocery,Parmotrema perlatum,1,1100.0
DMart Grocery,DMart Premia Cashews Salted,1,1290.0
DMart Grocery,almond-flavoured seeds,1,1620.0
DMart Grocery,Premia Soyabean,1,158.0
DMart Grocery,Premia Sakariya,1,80.0
DMart Grocery,Premia Sunday Mix Masala,1,330.0
DMart Grocery,DMart Premia Almonds Salted,1,1190.0
DMart Grocery,Premia Goda Masala,1,190.0
DMart Grocery,DMart Premia Cashews Black Pepper,1,1290.0
DMart Grocery,Premia Rai Red,1,128.0
DMart Grocery,Premia Rai Red,1,125.0
DMart Grocery,Garden cress seeds,1,150.0
DMart Grocery,Walnut,1,740.0
DMart Grocery,Premia Big Sakariya,1,65.0
DMart Grocery,Premia Pickle Masala,1,250.0
DMart Grocery,Pigeon pea,1,120.0
DMart Grocery,Green gram dal,1,118.0
DMart Grocery,Yellow lentil ,1,77.0
DMart Grocery,Moong Whole,1,110.0
DMart Grocery,Black lentils,1,136.0
DMart Grocery,Pigeon pea,1,144.0
DMart Grocery,Red Lentil,1,109.0
DMart Grocery,Moong Dal Chilti,1,112.0
DMart Grocery,dried white peas,1,112.0
DMart Grocery,brown lentils,1,110.0
Grocery,Almond,1,730.0
Grocery,Almonds,1,718.0
Grocery,Yellow lentil ,1,77.0
Grocery,kidney beans,1,194.0
Grocery, dark red kidney beans,1,144.0
Grocery,almond,1,2440.0
Grocery,split chickpea lentils,1,114.0
Grocery,kidney beans,1,106.0
Grocery,Nutraj Almond,1,875.0
Grocery,Satyam Rajma Pink,1,240.0
Grocery,Almond,1,2875.0
Grocery,split chickpea lentils,1,96.0
Grocery,kidney beans,1,238.0
Grocery,split chickpea lentils,1,142.0
Grocery,Tata Sampann 100% Organic Unpolished Chana Dal,1,171.0
Grocery,Almond,1,1080.0
Grocery,Kidney Beans,1,254.0
Grocery,DMart Premia Almonds Salted,1,1190.0
Grocery,Green gram dal,1,118.0
Grocery,Cashew,1,864.0
Grocery,Cashews,1,920.0
Grocery,Moong Dal Chilti,1,112.0
Grocery,Green gram lentils,1,135.0
Grocery,Cashew,1,918.0
Grocery,Cashews,1,975.0
Grocery,black-eyed peas ,1,112.0
Grocery,black-eyed peas,1,142.0
Grocery,Cashew,1,912.0
Grocery,black-eyed peas,1,104.0
Grocery,Cashew,1,844.0
Grocery,Green gram lentils,1,138.0
Grocery,Cashew,1,970.0
Grocery,Cashew,1,1038.0
Grocery,Cashew,1,1158.0
Grocery,Green gram split,1,150.0
Grocery,black-eyed peas,1,128.0
Grocery,Green gram lentils,1,202.0
Grocery,Green gram lentils,1,246.0
Grocery,cashew,1,995.0
Grocery,Cashew,1,1320.0
Grocery,Green gram lentils,1,220.0
Grocery,Satyam Moong Chilti,1,186.0
Grocery,Organic Tattva Moong Dal Yellow Split,1,185.0
Grocery,DMart Premia Cashews Salted,1,1290.0
Grocery,Kokan Gem Goa Cashews Tukda,1,918.0
Grocery,Satyam Chowla,1,234.0
Grocery,Nutraj Broken Cashew,1,997.5
Grocery,Organic Tattva Moong Dal Whole,1,180.0
Grocery,DMart Premia Cashews Black Pepper,1,1290.0
Grocery,Pigeon pea,1,120.0
Grocery,Tata Sampann Toor Dal,1,129.0
Grocery,Pigeon pea,1,144.0
Grocery,pistachio,1,1200.0
Grocery,pegeon pea,1,139.0
Grocery,Pistachios,1,2350.0
Grocery,Tata Sampann 100% Organic Unpolished Toor Dal,1,234.0
Grocery,Nutraj Iranian Pistachios (Pista),1,1245.0
Grocery,Nutraj Premium California Pistachios (Pista),1,1195.0
Grocery,soy bean,1,165.0
Grocery,Satyam Tur (Toor) Dal,1,202.0
Grocery,Nutrela Soya Mini Chunks,1,260.0
Grocery,Organic Tattva Arhar Tur Dal,1,135.0
Grocery,Toor Dal Plain,1,105.0
Grocery,Nutrela Soya Chunks,1,260.0
Grocery,Toor Dal Oily,1,112.0
Grocery,24 Mantra Organic Tur dal,1,215.0
Grocery,textured soy protein,1,190.0
Grocery,Nutrela Soya Granules,1,250.0
Grocery,Nutraj Plain Pistachio Kernel,1,2290.0
Grocery,KMK Pista Magaz,1,1785.0
Grocery,Satyam Toor Dal Oily,1,202.0
Grocery,Carnival Classic Pista Magaz,1,2240.0
Grocery,Premia Soyabean,1,158.0
Grocery,Carnival Classic California Pistachios,1,1240.0
Grocery,KMK Pista Salted Irani (Pistachios),1,1185.0
Grocery,Tuwar Whole,1,118.0
Grocery,Black lentils,1,136.0
Grocery,Desi Kabuli Chana,1,143.0
Grocery,black gram,1,144.0
Grocery,Date,1,330.0
Grocery,Tata Sampann Urad Dal,1,166.0
Grocery,Dates,1,260.0
Grocery,Satyam Kabuli Chana,1,198.0
Grocery,black gram lentils,1,124.0
Grocery,Date,1,364.0
Grocery,Date,1,316.0
Grocery,Dates,1,330.0
Grocery,Date,1,186.0
Grocery,Emperor Dates Iranian Muzafati,1,332.5
Grocery,24 Mantra Organic Kabuli Chana,1,250.0
Grocery,Date,1,190.0
Grocery,Satyam Udid (Urad) Dal,1,228.0
Grocery,Apis Royal Zahidi Premium Dates,1,180.0
Grocery,King Solomon Medjoul Natural Dates,1,1500.0
Grocery,Dates,1,315.0
Grocery,Falcon Safawi Dates,1,700.0
Grocery,Tata Sampann Organic Unpolished Kabuli Chana,1,264.0
Grocery,Organic Tattva Kabuli Chana,1,210.0
Grocery,Nutraj Dry Dates (Chuara-Khareek),1,318.0
Grocery,Date,1,200.0
Grocery,King Solomon Oriental Dates,1,496.0
Grocery,Royal Delight Finest Oman Dates,1,487.5
Grocery,Shamim Iranian Wet Dates,1,320.0
Grocery,Emperor Premium Dates Zahidi,1,226.0
Grocery,Tata Sampann Organic Unpolished Urad Dal,1,240.0
Grocery,Date,1,248.0
Grocery,Organic Tattva Urad Dal White Split,1,194.0
Grocery,Azmah Dates,1,928.0
Grocery,Apis Premium Seeded Dates,1,120.0
Grocery,Royal Delight Finest Ajwa Dates,1,1560.0
Grocery,Organic Tattva Urad Dal Whole White,1,198.0
Grocery,Royal Delight Finest Mabroom Dates,1,1120.0
Grocery,Royal Delight Finest Safavi Dates,1,940.0
Grocery,Falcon Zahdi Dates Seeded,1,208.0
Grocery,Red Lentil,1,109.0
Grocery,Raisin,1,292.0
Grocery,Chana Small,1,74.0
Grocery,Chana Small,1,80.0
Grocery,Chana Big,1,100.0
Grocery,Tata Sampann Masoor Dal,1,150.0
Grocery,Raisin,1,475.0
Grocery,Nutraj Raisins - Kishmish,1,338.0
Grocery,chick pea ,1,214.0
Grocery,Raisin,1,340.0
Grocery,Satyam Masur Dal,1,172.0
Grocery,Mahafruit Premium Quality Kishmish (Raisins),1,298.0
Grocery,Raisin,1,540.0
Grocery,Satyam Chana Mosambi,1,166.0
Grocery,KMK Black Raisins Seedless (Kismis),1,470.0
Grocery,KMK Green Raisins Afghan (Kismis),1,620.0
Grocery,Tata Sampan 100% Organic Unpolished Masoor Dal,1,188.0
Grocery,Satyam Chana Small,1,124.0
Grocery,Organic Tattva Kala Chana,1,118.0
Grocery,Satyam Chana Green,1,294.0
Grocery,Carnival Premium Seedless Black Raisins,1,540.0
Grocery,Tata Sampann Organic Unpolished Brown (Kala) Chana,1,150.0
Grocery,Nutraj California Walnut Kernels (Akrod Magaj),1,1490.0
Grocery,Walnut Kernels,1,1720.0
Grocery,Nutraj California Whole Walnut (Akrod),1,499.0
Grocery,porridge ,1,112.0
Grocery,Nutraj Daily Walnut Kernels,1,1058.0
Grocery,Black Gram Whole,1,122.0
Grocery,KMK Walnut Shell (Whole),1,698.0
Grocery,KMK Walnut Kernel (Akrod),1,1733.3333333333335
Grocery,Satyam Dalia,1,205.0
Grocery,Satyam Udid (Urad) Whole,1,196.0
Grocery,Moong Whole,1,110.0
Grocery, ,1,120.0
Grocery,Satyam Moong Whole,1,202.0
Grocery,apricot,1,610.0
Grocery,Apricot,1,1000.0
Grocery,24 Mantra Organic Green Moong Whole,1,232.0
Grocery,Dal - Rice Mix,1,78.0
Grocery,brown lentils,1,110.0
Grocery, Dry Fruits,1,488.0
Grocery,Nutraj Mix Dry Fruits,1,575.5555555555555
Grocery,Satyam Masoor Whole,1,178.0
Grocery,KMK Cranberry Whole,1,695.0
Grocery,KMK Mix Mewa Cut Dry Fruits,1,1155.0
Grocery,Carnival Dried Blueberry,1,1990.0
Grocery,Carnival Cranberry Whole,1,990.0
Grocery,dried white peas,1,112.0
Grocery,peas,1,130.0
Grocery,Satyam Safed (White) Vatana,1,186.0
Grocery,black peas,1,86.0
Grocery,Satyam Vatana Green,1,264.0
Grocery,KMK Charoli,1,1600.0
Grocery,almond-flavoured seeds,1,1620.0
Grocery,Satyam Vatana Black,1,130.0
Grocery,FoxNuts,1,830.0
Grocery,Makhana,1,810.0
Grocery,Matki,1,138.0
Grocery,Matki Small,1,178.0
Grocery,Morya Phool Makhana (Fox Nuts),1,990.0
Grocery,Mixed Pulses For Sprout,1,112.0
Grocery,Wal,1,202.0
Grocery,Moong Whole Small,1,118.0
Grocery,Satyam Math (Matki),1,238.0
Grocery,Satyam Wal Kadwa,1,434.0
Grocery,Mix Chana Vatana (for Sprout),1,114.0
Grocery, Field beans,1,144.0
Grocery,Satyam Makhana,1,1780.0
Grocery,field beans,1,154.0
Grocery,Satyam Wal,1,244.0
Grocery,KMK Anjeer (Figs),1,1515.0
Grocery,Figs,1,1240.0
Grocery,Macrotyloma uniflorum,1,96.0
Grocery,Carnival Premium Anjeer Figs,1,1396.0
Grocery,Nutraj Signature Fig (Anjeer) Gold,1,996.0
Grocery,Groundnut,1,170.0
Grocery,Satyam Singdana (Groundnut),1,170.0
Grocery,24 Mantra Organic Peanut,1,240.0
Grocery,Organic Tattva Groundnuts (Peanuts),1,204.0
Grocery,Sugar,1,45.0
Grocery,Cow Ghee,1,535.0
Grocery,Flattened rice,1,48.0
Grocery,Cumin,1,375.0
Grocery,Sago,1,67.0
Grocery,Jaggery,1,72.22222222222221
Grocery,Cardamom,1,2360.0
Grocery,Coconut,1,332.0
Grocery,Jaggery,1,100.0
Grocery,Black Pepper,1,870.0
Grocery,Coriander,1,272.5
Grocery,Chilli Powder,1,450.0
Grocery,Fennel ,1,335.0
Grocery,Black Mustard Seeds,1,160.0
Grocery,Chilli Powder,1,436.0
Grocery,Mamra (Puffed Rice),1,76.0
Grocery,Jaggery,1,66.66666666666667
Grocery,Cassia Cinnamon,1,900.0
Grocery,turmeric,1,150.0
Grocery,Coriander,1,160.0
Grocery,Celery,1,490.0
Grocery,Tamarind,1,180.0
Grocery,Mustard,1,120.0
Grocery,Flattened rice,1,52.0
Grocery,sesame,1,190.0
Grocery,Coconut,1,270.0
Grocery,Fennel,1,330.0
Grocery,poppy seeds,1,2100.0
Grocery,Cardamom,1,1400.0
Grocery,European anise,1,1360.0
Grocery,Chilli,1,480.0
Grocery,Fennel,1,240.0
Grocery,clove ,1,1550.0
Grocery,roasted coriander ,1,420.0
Grocery,Flattened rice,1,84.0
Grocery,Dried fenugreek leaves,1,350.0
Grocery,fenugreek,1,150.0
Grocery, sweet basil seeds,1,400.0
Grocery,Cumin powder,1,300.0
Grocery,tapioca pearl,1,70.0
Grocery,Piper nigrum,1,850.0
Grocery,Cumin,1,700.0
Grocery,Linseed,1,150.0
Grocery,Chilli,1,660.0
Grocery,Chilli,1,720.0
Grocery,Amchur Powder,1,320.0
Grocery,Kolhapuri Surati Kurmura,1,88.0
Grocery,Allspice and Cumin,1,510.0
Grocery,Mace,1,5200.0
Grocery,Indian bay leaf,1,280.0
Grocery,Cardamom,1,1450.0
Grocery,Coriander,1,175.0
Grocery,clumps of sugar,1,80.0
Grocery,Cumin,1,215.0
Grocery,nutmeg,1,10.25
Grocery,Garcinia indica ,1,275.0
Grocery,Laxmi Jaya Kurmura,1,80.0
Grocery,Allspice and Cumin,1,345.0
Grocery,Premia Sugar Candy,1,100.0
Grocery,Chilli,1,260.0
Grocery,Til,1,270.0
Grocery,Garcinia indica,1,550.0
Grocery,Baking soda,1,90.0
Grocery,Ginger ,1,300.0
Grocery,black cumin,1,280.0
Grocery,maize flakes,1,66.0
Grocery,Ginger,1,460.0
Grocery,dinkh ,1,240.0
Grocery,Citric Acid,1,620.0
Grocery,Parmotrema perlatum,1,1100.0
Grocery,Premia Sakariya,1,80.0
Grocery,Premia Sunday Mix Masala,1,330.0
Grocery,Garden cress seeds,1,150.0
Grocery,Fortune Sunlite Refined Sunflower Oil,1,192.0
Grocery,Fortune Refined Sunflower Oil Tin,1,186.6
Grocery,Sunrich Refined Sunflower Oil,1,179.0
Grocery,Gemini Refined Sunflower Oil,1,199.6
Grocery,Gulab Sunflower Oil Jar,1,193.26666666666668
Grocery,Sunday Refined Sunflower Oil,1,205.8
Grocery,Sunflower oil,1,187.0
Grocery,Fortune Sunlite Refined Sunflower Oil,1,199.93333333333334
Grocery,Dhara Refined Sunflower Oil,1,204.0
Grocery,Nature Fresh Refined Sunflower Oil Pouch,1,201.0
Grocery,Sunday Refined Sunflower Oil Jar With Tap,1,195.0
Grocery,Sweekar Refined Sunflower Oil Jar,1,207.26666666666668
Grocery,Dhara Refined Sunflower Oil,1,198.66666666666666
Grocery,Dalda Refined Sunflower Oil Pouch,1,181.0
Grocery,Sundrop Superlite Advanced Sunflower Oil,1,250.0
Grocery,Sunny Sun Lite Refined Sunflower Oil,1,195.0
Grocery,Gulab Sunflower Oil,1,182.0
Grocery,Gemini Refined Sunflower Oil,1,205.93333333333334
Grocery,Godrej Refined Sunflower Oil,1,198.33333333333334
Grocery,Saffola Gold Oil,1,239.8
Grocery,Saffola Active Oil,1,186.0
Grocery,Saffola Gold Oil,1,224.8
Grocery,Saffola Total Oil,1,234.0
Grocery,Saffola Active Oil,1,193.26666666666668
Grocery,Fortune Vivo Blended Oil,1,199.6
Grocery,Hudson Canola Oil,1,199.0
Grocery,Svity Kolam Refined Rice Bran Oil,1,157.0
Grocery,Fortune Rice Bran Health Oil,1,186.0
Grocery,Rice Bran Oil,1,170.0
Grocery,Fortune Rice Bran Health Oil,1,182.33333333333334
Grocery,Riso Ricebran Oil,1,185.0
Grocery,Dhara Life Refined Rice Bran Oil,1,178.0
Grocery,Ricela Refined Rice Bran Oil,1,189.8
Grocery,Gemini Rice Bran Oil,1,185.0
Grocery,Dhara Life Refined Rice Bran Oil Jar,1,186.6
Grocery,Gulab Filtered Groundnut Oil,1,180.0
Grocery,Guinea Filtered Groundnut Oil,1,183.0
Grocery,Gulab Filtered Groundnut Oil,1,178.0
Grocery,Dhara Filtered Groundnut Oil Pouch,1,193.0
Grocery,Fortune Filtered Groundnut Oil,1,190.0
Grocery,RRO Primio Gold Filtered Groundnut Oil,1,175.0
Grocery,Guinea Filtered Groundnut Oil,1,223.0
Grocery,RRO Primio Refined Groundnut Oil,1,221.0
Grocery,RRO Primio Refined Groundnut Oil,1,186.6
Grocery,RRO Primio Gold Filtered Groundnut Oil,1,173.26666666666668
Grocery,Gramiyaa Wood Cold Pressed Groundnut Oil,1,389.0
Grocery,Guinea Lite Groundnut Oil,1,221.8
Grocery,Gramiyaa Wood Cold Pressed Coconut Oil,1,0.458
Grocery,Del Monte Extra Light Olive Oil,1,524.5
Grocery,Borges Extra Light Olive Oil,1,599.5
Grocery,Figaro Olive Oil Tin,1,765.0
Grocery,Borges Extra Virgin Olive Oil,1,775.0
Grocery,Leonardo Olive Pomace Oil,1,379.8
Grocery,Bertolli Extra Light Tasting Olive Oil,1,524.5
Grocery,Figaro Extra Virgin Olive Oil,1,0.81
Grocery,Borges Pure Olive Oil - Classic,1,639.0
Grocery,Leonardo Extra Light Olive Oil,1,700.0
Grocery,Patanjali Kachi Ghani Mustard Oil,1,182.0
Grocery,Fortune Kachi Ghani Mustard Oil Bottle,1,185.0
Grocery,Dhara Kachighani (Mustard) Oil,1,179.0
Grocery,Patanjali Kachi Ghani Mustard Oil Pouch,1,172.0
Grocery,Fortune Kachi Ghani Mustard Oil,1,188.0
Grocery,Tez Mustard Kachchi Ghani Oil Bottle,1,202.0
Grocery,RRO Premium Mustard Oil,1,197.0
Grocery,RRO Mastdil Premium Mustard Oil Bottle,1,190.0
Grocery,Tez Mustard Kachchi Ghani Oil Pouch,1,199.0
Grocery,Ruchi Gold Refined Palmolein Oil,1,149.0
Grocery,Gemini Refined Soyabean Oil,1,170.0
Grocery,Swaad Soyabean Oil,1,166.0
Grocery,Idhayam Gingelly Oil,1,309.0
Grocery,KLF Coconad 100% Pure Coconut Oil,1,228.0
Grocery,RRO Til Dil Premium Til Oil Bottle,1,299.0
Grocery,Tilsona Til Oil Bottle,1,315.0
Grocery,Fortune Plus Soya Health Oil,1,178.0
Grocery,KPL Shudhi Coconut Oil,1,228.0
Grocery,Idhayam Sesame Oil Bottle,1,325.0
Grocery,Fortune Xpert Pro Immunity,1,190.0
Grocery,Gramiyaa Wood Cold Pressed Sesame Oil,1,0.51
Grocery,Amul Pure Ghee Pouch,1,509.0
Grocery,Gowardhan Pure Cow Ghee Pouch,1,566.0
Grocery,Amul Cow Ghee Pouch,1,523.0
Grocery,Aabad Cow Ghee Pouch,1,415.0
Grocery,Mother Dairy Pure Cow Ghee,1,499.0
Grocery,Sagar Pure Ghee Pouch,1,499.0
Grocery,Prabhat Dairy Cow Ghee Pouch,1,465.0
Grocery,Chitale Dairy Cow Ghee Box,1,530.0
Grocery,Gowardhan Pure Cow Ghee,1,584.0
Grocery,Dynamix Cow Ghee Pouch,1,520.0
Grocery,Gowardhan Cow Ghee Tin,1,539.4
Grocery,Govind Pure Ghee Pouch,1,499.0
Grocery,Amul Pure Ghee Tin,1,523.0
Grocery,Aabad Desi Ghee Pouch,1,455.0
Grocery,Amul Cow Ghee Tin,1,538.0
Grocery,Chitale Dairy Ghee Box,1,530.0
Grocery,Sagar Pure Ghee Tin,1,514.0
Grocery,Aashirvaad Svasti Pure Cow Ghee Pouch,1,455.0
Grocery,Parsi Dairy Farm Cow Ghee Jar,1,0.87
Grocery,Dynamix Cow Ghee Jar,1,525.0
Grocery,Aabad Cow Ghee Jar,1,479.0
Grocery,Amul Pure Ghee Jar,1,0.532
Grocery,Dynamix Cow Ghee Tin,1,519.8
Grocery,Haribol Desi Cow A2 Ghee,1,1.1333333333333333
Grocery,Vijaya Pure Ghee Tin,1,579.8
Grocery,Parsi Dairy Farm Buffalo Ghee Jar,1,0.9
Grocery,Organic India Organic Cow Ghee,1,1.17
Grocery,Dalda Vanaspati,1,185.0
Grocery,Godrej Vanaspati,1,183.0
Grocery,Aashirvaad Superior MP Wheat Atta,1,43.0
Grocery,Aashirvaad Select Sharbati Wheat Atta,1,49.0
Grocery,Aashirvaad Multigrain Atta,1,55.8
Grocery,Pillsbury Chakki Fresh Wheat Atta,1,38.5
Grocery,Fortune Chakki Fresh Wheat Atta,1,33.5
Grocery,Nature Fresh Sampoorna Superior MP Wheat Atta,1,35.5
Grocery,Taste For Life MP Sihore Chapati Fine Wheat Atta,1,79.0
Grocery,Wheat Flour Chakki Atta,1,30.8
Grocery,Pillsbury Multi Grain Atta,1,56.0
Grocery,24 Mantra Organic Whole Wheat Atta,1,61.0
Grocery,Rice Atta,1,40.0
Grocery,Organic Tattva Organic Wheat Flour,1,39.8
Grocery,24 Mantra Organic Ragi Flour,1,120.0
Grocery,24 Mantra Organic Jowar Flour,1,110.0
Grocery,Taste For Life Premium Khapli Wheat Atta,1,144.0
Grocery,Wheat Lokwan (Lokvan),1,34.0
Grocery,Makai For Popcorn,1,140.0
Grocery,finger millet,1,39.0
Grocery,Satyam Sabudana,1,100.0
Grocery,Bajari,1,39.0
Grocery,Organic India Quinoa,1,530.0
Grocery,Satyam Lapsi Medium,1,68.0
Grocery,Satyam Barley,1,130.0
Grocery,Pink Harvest Farms White Quinoa,1,224.0
Grocery,semolina,1,38.0
Grocery,Gram Flour,1,74.0
Grocery,Fortune Chana Dal Besan,1,89.0
Grocery,Satyam Rava,1,64.0
Grocery,Porridge,1,46.0
Grocery,cracked wheat,1,48.0
Grocery,Tata Sampann Fine Besan,1,105.0
Grocery,Rice Atta,1,44.0
Grocery,Jawari Atta,1,52.0
Grocery,Bhagirathi Jowar Atta,1,68.0
Grocery,Satyam Besan,1,100.0
Grocery,Blue Bird Corn Flour,1,148.0
Grocery,Satyam Maida,1,60.0
Grocery,Nachni Atta,1,54.0
Grocery,Bhagirathi Thalipeeth Bhajni,1,175.0
Grocery,Satyam Rajgira Flour,1,178.0
Grocery,Bhagirathi Nachani (Ragi) Atta,1,74.0
Grocery,Bhagirathi Rice Atta,1,56.0
Grocery,Bhagirathi Bajra Atta,1,56.0
Grocery,Bhagirathi Upwas Bhajani,1,195.0
Grocery,Organic Tattva Suji,1,76.0
Grocery,Bhagirathi Sattu Atta,1,170.0
Grocery,Bajari Atta,1,60.0
Grocery,Bhagirathi Shingada Atta,1,425.0
Grocery,Bhagirathi Rajgira Atta,1,195.0
Grocery,Makai Atta,1,52.0
Grocery,Weikfield Corn Flour,1,250.0
Grocery,Kokan Gem Thalipeeth Bhajani,1,175.0
Grocery,Bhagirathi Makai (Corn) Flour,1,56.0
Grocery,Satyam Rice Atta (Flour),1,60.0
Grocery,Bhagirathi Multigrain Bhakari Atta,1,66.0
Grocery,Brown & Polson Corn Flour,1,250.0
Grocery,Kokan Gem Kulith Pith,1,200.0
Grocery,Bedekar Thalipith Bhajni,1,225.0
Grocery,India Gate Basmati Rice Rozana,1,85.8
Grocery,Daawat Heritage Daily Feast Tukda Basmati Rice,1,53.8
Grocery,Daawat Devaaya Basmati Rice,1,91.0
Grocery,Daawat Rozana Super Basmati Rice,1,71.0
Grocery,India Gate Mini Mogra (Broken) Basmati Rice,1,54.5
Grocery,India Gate Super Basmati Rice,1,179.0
Grocery,Rice,1,52.4
Grocery,Fortune Everyday Hamesha Basmati Rice,1,65.0
Grocery,Daawat Super Basmati Rice,1,119.8
Dairy & Beverages,Butter,1,490.0
Dairy & Beverages,Tea,1,479.0
Dairy & Beverages,Tea,1,469.0
Dairy & Beverages,Tea,1,420.0
Dairy & Beverages,Tea,1,192.66666666666666
Dairy & Beverages,Tea,1,455.0
Dairy & Beverages,Tea,1,429.0
Dairy & Beverages,Tea,1,390.0
Dairy & Beverages,Tea,1,660.0
Dairy & Beverages,Tea,1,460.0
Dairy & Beverages,Tea,1,570.0
Dairy & Beverages,Tea,1,195.0
Dairy & Beverages,Nutralite Fat Spread Tub,1,324.0
Dairy & Beverages,Green tea,1,3.0
Dairy & Beverages,Tea,1,225.0
Dairy & Beverages,Butter,1,444.0
Dairy & Beverages,Delicious Fat Spread,1,198.0
Dairy & Beverages,Tea,1,478.0
Dairy & Beverages,green tea,1,5.6
Dairy & Beverages,Tea,1,600.0
Dairy & Beverages,Buttery Spread,1,500.0
Dairy & Beverages,Tea,1,480.0
Dairy & Beverages,green tea,1,9.0
Dairy & Beverages,Butter,1,570.0
Dairy & Beverages,Tea,1,1.85
Dairy & Beverages,Nutralite Fat,1,320.0
Dairy & Beverages,Butter,1,490.0
Dairy & Beverages,Tea,1,299.0
Dairy & Beverages,Green tea,1,5.4
Dairy & Beverages,Tea,1,202.0
Dairy & Beverages,Tea,1,892.8571428571429
Dairy & Beverages,Tea,1,1300.0
Dairy & Beverages,Milk fat fread,1,382.0
Dairy & Beverages,Tea,1,821.4285714285714
Dairy & Beverages,grean tea,1,5.8
Dairy & Beverages,Tea,1,2.6
Dairy & Beverages,Butter,1,548.0
Dairy & Beverages,Butter,1,500.0
Dairy & Beverages,Tea,1,5.8
Dairy & Beverages,Green tea,1,1300.0
Dairy & Beverages,Tea,1,4.8
Dairy & Beverages,Grean tea,1,6.4
Dairy & Beverages,Green tea,1,6.28
Dairy & Beverages,Tea,1,744.047619047619
Dairy & Beverages,Premia Tea Masala,1,700.0
Dairy & Beverages,Tea,1,396.0
Dairy & Beverages,Butter,1,548.0
Dairy & Beverages,Green tea,1,3.0
Dairy & Beverages,Tea,1,821.4285714285714
